class,f1,precision,recall,support
ageism,0.000000,0.000000,0.000000,9.0
aporophobia,0.000000,0.000000,0.000000,10.4
body_shame,0.572203,0.906656,0.420465,44.4
capacitism,0.000000,0.000000,0.000000,17.6
lgbtphobia,0.685678,0.767696,0.620625,131.2
political,0.523459,0.622155,0.454308,184.0
racism,0.221751,0.612030,0.150956,46.8
religious_intolerance,0.171245,0.389524,0.115064,18.2
misogyny,0.622552,0.704375,0.558177,268.0
xenophobia,0.292491,0.471933,0.216398,53.8
other,0.566249,0.578639,0.555888,719.6
not_hate,0.946563,0.935402,0.958030,6146.4
