class,f1,precision,recall,support
ageism,0.000000,0.000000,0.000000,9.0
aporophobia,0.218974,0.650000,0.140233,10.4
body_shame,0.632655,0.802293,0.523026,44.4
capacitism,0.062577,0.466667,0.034137,17.6
lgbtphobia,0.711807,0.752407,0.678411,131.2
political,0.569183,0.654125,0.504323,184.0
racism,0.415226,0.551522,0.351827,46.8
religious_intolerance,0.302479,0.390714,0.257556,18.2
misogyny,0.656161,0.721793,0.602199,268.0
xenophobia,0.349787,0.471036,0.279451,53.8
other,0.588304,0.586114,0.591159,719.6
not_hate,0.950092,0.937266,0.963304,6146.4
