class,f1,precision,recall,support
ageism,0.000000,0.000000,0.000000,9.0
aporophobia,0.000000,0.000000,0.000000,10.4
body_shame,0.569203,0.778061,0.450353,44.4
capacitism,0.000000,0.000000,0.000000,17.6
lgbtphobia,0.703437,0.777256,0.645017,131.2
political,0.550557,0.586529,0.519626,184.0
racism,0.040490,0.220000,0.022332,46.8
religious_intolerance,0.146325,0.412698,0.099484,18.2
misogyny,0.618880,0.667592,0.577644,268.0
xenophobia,0.296955,0.455707,0.223808,53.8
other,0.591807,0.591203,0.592829,719.6
not_hate,0.947075,0.942168,0.952040,6146.4
