class,f1,precision,recall,support
ageism,0.000000,0.000000,0.000000,9.0
aporophobia,0.000000,0.000000,0.000000,10.4
body_shame,0.457092,0.840000,0.319874,44.4
capacitism,0.043275,0.266667,0.024444,17.6
lgbtphobia,0.575663,0.822463,0.445325,131.2
political,0.269022,0.661990,0.170813,184.0
racism,0.062392,0.370000,0.034645,46.8
religious_intolerance,0.137164,0.550000,0.078768,18.2
misogyny,0.517479,0.764372,0.391826,268.0
xenophobia,0.101784,0.407619,0.059142,53.8
other,0.369033,0.565294,0.274315,719.6
not_hate,0.942489,0.911335,0.975860,6146.4
